"seqName","subtype","Htype","Ntype","host","host2","accn","isName","place","country","region","continent","dateTxt","decDate","seg","segNumber","birdOrder","wildDom","shortLong","avHost3","avHost4","avHost5","beastNames","len"
"H5N5_Avian_CY091636_A/duck/Guangdong/wy19/2008_China_2008/06/06_5 (NP)","H5N5","H5","N5","Avian","duck","CY091636","A/duck/Guangdong/wy19/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","5 (NP)","5","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091636_A/duck/Guangdong/wy19/2008|2008.427","1565"
"H5N5_Avian_CY091637_A/duck/Guangdong/wy19/2008_China_2008/06/06_6 (NA)","H5N5","H5","N5","Avian","duck","CY091637","A/duck/Guangdong/wy19/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","6 (NA)","6","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091637_A/duck/Guangdong/wy19/2008|2008.427","1466"
"H5N5_Avian_CY091638_A/duck/Guangdong/wy19/2008_China_2008/06/06_7 (MP)","H5N5","H5","N5","Avian","duck","CY091638","A/duck/Guangdong/wy19/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","7 (MP)","7","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091638_A/duck/Guangdong/wy19/2008|2008.427","1027"
"H5N5_Avian_CY091639_A/duck/Guangdong/wy19/2008_China_2008/06/06_8 (NS)","H5N5","H5","N5","Avian","duck","CY091639","A/duck/Guangdong/wy19/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","8 (NS)","8","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091639_A/duck/Guangdong/wy19/2008|2008.427","875"
"H5N5_Avian_CY091640_A/duck/Guangdong/wy24/2008_China_2008/06/06_1 (PB2)","H5N5","H5","N5","Avian","duck","CY091640","A/duck/Guangdong/wy24/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","1 (PB2)","1","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091640_A/duck/Guangdong/wy24/2008|2008.427","2341"
"H5N5_Avian_CY091641_A/duck/Guangdong/wy24/2008_China_2008/06/06_2 (PB1)","H5N5","H5","N5","Avian","duck","CY091641","A/duck/Guangdong/wy24/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","2 (PB1)","2","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091641_A/duck/Guangdong/wy24/2008|2008.427","2341"
"H5N5_Avian_CY091642_A/duck/Guangdong/wy24/2008_China_2008/06/06_3 (PA)","H5N5","H5","N5","Avian","duck","CY091642","A/duck/Guangdong/wy24/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","3 (PA)","3","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091642_A/duck/Guangdong/wy24/2008|2008.427","2233"
"H5N5_Avian_CY091643_A/duck/Guangdong/wy24/2008_China_2008/06/06_4 (HA)","H5N5","H5","N5","Avian","duck","CY091643","A/duck/Guangdong/wy24/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","4 (HA)","4","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091643_A/duck/Guangdong/wy24/2008|2008.427","1779"
"H5N5_Avian_CY091644_A/duck/Guangdong/wy24/2008_China_2008/06/06_5 (NP)","H5N5","H5","N5","Avian","duck","CY091644","A/duck/Guangdong/wy24/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","5 (NP)","5","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091644_A/duck/Guangdong/wy24/2008|2008.427","1565"
"H5N5_Avian_CY091645_A/duck/Guangdong/wy24/2008_China_2008/06/06_6 (NA)","H5N5","H5","N5","Avian","duck","CY091645","A/duck/Guangdong/wy24/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","6 (NA)","6","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091645_A/duck/Guangdong/wy24/2008|2008.427","1466"
"H5N5_Avian_CY091646_A/duck/Guangdong/wy24/2008_China_2008/06/06_7 (MP)","H5N5","H5","N5","Avian","duck","CY091646","A/duck/Guangdong/wy24/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","7 (MP)","7","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091646_A/duck/Guangdong/wy24/2008|2008.427","1027"
"H5N5_Avian_CY091647_A/duck/Guangdong/wy24/2008_China_2008/06/06_8 (NS)","H5N5","H5","N5","Avian","duck","CY091647","A/duck/Guangdong/wy24/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","8 (NS)","8","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091647_A/duck/Guangdong/wy24/2008|2008.427","875"
"H5N5_Avian_CY177069_A/mallard/California/928V/2013_USA_2013/08/01_4 (HA)","H5N5","H5","N5","Avian","mallard","CY177069","A/mallard/California/928V/2013","California","USA","NorthernAmerica","America","2013/08/01","2013.58082191781","4 (HA)","4","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177069_A/mallard/California/928V/2013|2013.581","1742"
"H5N5_Avian_CY177070_A/mallard/California/928V/2013_USA_2013/08/01_7 (MP)","H5N5","H5","N5","Avian","mallard","CY177070","A/mallard/California/928V/2013","California","USA","NorthernAmerica","America","2013/08/01","2013.58082191781","7 (MP)","7","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177070_A/mallard/California/928V/2013|2013.581","1002"
"H5N5_Avian_CY177071_A/mallard/California/928V/2013_USA_2013/08/01_6 (NA)","H5N5","H5","N5","Avian","mallard","CY177071","A/mallard/California/928V/2013","California","USA","NorthernAmerica","America","2013/08/01","2013.58082191781","6 (NA)","6","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177071_A/mallard/California/928V/2013|2013.581","1444"
"H5N5_Avian_CY177072_A/mallard/California/928V/2013_USA_2013/08/01_5 (NP)","H5N5","H5","N5","Avian","mallard","CY177072","A/mallard/California/928V/2013","California","USA","NorthernAmerica","America","2013/08/01","2013.58082191781","5 (NP)","5","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177072_A/mallard/California/928V/2013|2013.581","1537"
"H5N5_Avian_CY177073_A/mallard/California/928V/2013_USA_2013/08/01_8 (NS)","H5N5","H5","N5","Avian","mallard","CY177073","A/mallard/California/928V/2013","California","USA","NorthernAmerica","America","2013/08/01","2013.58082191781","8 (NS)","8","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177073_A/mallard/California/928V/2013|2013.581","865"
"H5N5_Avian_CY177074_A/mallard/California/928V/2013_USA_2013/08/01_3 (PA)","H5N5","H5","N5","Avian","mallard","CY177074","A/mallard/California/928V/2013","California","USA","NorthernAmerica","America","2013/08/01","2013.58082191781","3 (PA)","3","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177074_A/mallard/California/928V/2013|2013.581","2208"
"H5N5_Avian_CY177075_A/mallard/California/928V/2013_USA_2013/08/01_2 (PB1)","H5N5","H5","N5","Avian","mallard","CY177075","A/mallard/California/928V/2013","California","USA","NorthernAmerica","America","2013/08/01","2013.58082191781","2 (PB1)","2","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177075_A/mallard/California/928V/2013|2013.581","2304"
"H5N5_Avian_CY177076_A/mallard/California/928V/2013_USA_2013/08/01_1 (PB2)","H5N5","H5","N5","Avian","mallard","CY177076","A/mallard/California/928V/2013","California","USA","NorthernAmerica","America","2013/08/01","2013.58082191781","1 (PB2)","1","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177076_A/mallard/California/928V/2013|2013.581","2316"
"H5N5_Avian_CY177109_A/mallard/California/942V/2013_USA_2013/08/01_4 (HA)","H5N5","H5","N5","Avian","mallard","CY177109","A/mallard/California/942V/2013","California","USA","NorthernAmerica","America","2013/08/01","2013.58082191781","4 (HA)","4","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177109_A/mallard/California/942V/2013|2013.581","1742"
"H5N5_Avian_CY177110_A/mallard/California/942V/2013_USA_2013/08/01_7 (MP)","H5N5","H5","N5","Avian","mallard","CY177110","A/mallard/California/942V/2013","California","USA","NorthernAmerica","America","2013/08/01","2013.58082191781","7 (MP)","7","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177110_A/mallard/California/942V/2013|2013.581","1002"
"H5N5_Avian_CY177111_A/mallard/California/942V/2013_USA_2013/08/01_6 (NA)","H5N5","H5","N5","Avian","mallard","CY177111","A/mallard/California/942V/2013","California","USA","NorthernAmerica","America","2013/08/01","2013.58082191781","6 (NA)","6","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177111_A/mallard/California/942V/2013|2013.581","1444"
"H5N5_Avian_CY177112_A/mallard/California/942V/2013_USA_2013/08/01_5 (NP)","H5N5","H5","N5","Avian","mallard","CY177112","A/mallard/California/942V/2013","California","USA","NorthernAmerica","America","2013/08/01","2013.58082191781","5 (NP)","5","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177112_A/mallard/California/942V/2013|2013.581","1537"
"H5N5_Avian_CY177113_A/mallard/California/942V/2013_USA_2013/08/01_8 (NS)","H5N5","H5","N5","Avian","mallard","CY177113","A/mallard/California/942V/2013","California","USA","NorthernAmerica","America","2013/08/01","2013.58082191781","8 (NS)","8","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177113_A/mallard/California/942V/2013|2013.581","865"
"H5N5_Avian_CY177114_A/mallard/California/942V/2013_USA_2013/08/01_3 (PA)","H5N5","H5","N5","Avian","mallard","CY177114","A/mallard/California/942V/2013","California","USA","NorthernAmerica","America","2013/08/01","2013.58082191781","3 (PA)","3","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177114_A/mallard/California/942V/2013|2013.581","2208"
"H5N5_Avian_CY177115_A/mallard/California/942V/2013_USA_2013/08/01_2 (PB1)","H5N5","H5","N5","Avian","mallard","CY177115","A/mallard/California/942V/2013","California","USA","NorthernAmerica","America","2013/08/01","2013.58082191781","2 (PB1)","2","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177115_A/mallard/California/942V/2013|2013.581","2304"
"H5N5_Avian_CY177116_A/mallard/California/942V/2013_USA_2013/08/01_1 (PB2)","H5N5","H5","N5","Avian","mallard","CY177116","A/mallard/California/942V/2013","California","USA","NorthernAmerica","America","2013/08/01","2013.58082191781","1 (PB2)","1","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177116_A/mallard/California/942V/2013|2013.581","2316"
"H5N5_Avian_CY177149_A/mallard/California/1357/2013_USA_2013/07/22_4 (HA)","H5N5","H5","N5","Avian","mallard","CY177149","A/mallard/California/1357/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","4 (HA)","4","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177149_A/mallard/California/1357/2013|2013.553","1742"
"H5N5_Avian_CY177150_A/mallard/California/1357/2013_USA_2013/07/22_7 (MP)","H5N5","H5","N5","Avian","mallard","CY177150","A/mallard/California/1357/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","7 (MP)","7","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177150_A/mallard/California/1357/2013|2013.553","1002"
"H5N5_Avian_CY177151_A/mallard/California/1357/2013_USA_2013/07/22_6 (NA)","H5N5","H5","N5","Avian","mallard","CY177151","A/mallard/California/1357/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","6 (NA)","6","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177151_A/mallard/California/1357/2013|2013.553","1444"
"H5N5_Avian_CY177152_A/mallard/California/1357/2013_USA_2013/07/22_5 (NP)","H5N5","H5","N5","Avian","mallard","CY177152","A/mallard/California/1357/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","5 (NP)","5","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177152_A/mallard/California/1357/2013|2013.553","1537"
"H5N5_Avian_CY177153_A/mallard/California/1357/2013_USA_2013/07/22_8 (NS)","H5N5","H5","N5","Avian","mallard","CY177153","A/mallard/California/1357/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","8 (NS)","8","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177153_A/mallard/California/1357/2013|2013.553","865"
"H5N5_Avian_CY177154_A/mallard/California/1357/2013_USA_2013/07/22_3 (PA)","H5N5","H5","N5","Avian","mallard","CY177154","A/mallard/California/1357/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","3 (PA)","3","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177154_A/mallard/California/1357/2013|2013.553","2208"
"H5N5_Avian_CY177155_A/mallard/California/1357/2013_USA_2013/07/22_2 (PB1)","H5N5","H5","N5","Avian","mallard","CY177155","A/mallard/California/1357/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","2 (PB1)","2","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177155_A/mallard/California/1357/2013|2013.553","2304"
"H5N5_Avian_CY177156_A/mallard/California/1357/2013_USA_2013/07/22_1 (PB2)","H5N5","H5","N5","Avian","mallard","CY177156","A/mallard/California/1357/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","1 (PB2)","1","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177156_A/mallard/California/1357/2013|2013.553","2316"
"mixed,H4_Avian_CY177165_A/mallard/California/1367/2013_USA_2013/07/22_4 (HA)","mixed,H4","H4","NX","Avian","mallard","CY177165","A/mallard/California/1367/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","4 (HA)","4","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H4NX_Avian_CY177165_A/mallard/California/1367/2013|2013.553","1713"
"mixed,H5_Avian_CY177166_A/mallard/California/1367/2013_USA_2013/07/22_4 (HA)","mixed,H5","H5","NX","Avian","mallard","CY177166","A/mallard/California/1367/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","4 (HA)","4","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5NX_Avian_CY177166_A/mallard/California/1367/2013|2013.553","1742"
"mixed_Avian_CY177167_A/mallard/California/1367/2013_USA_2013/07/22_7 (MP)","mixed","HX","NX","Avian","mallard","CY177167","A/mallard/California/1367/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","7 (MP)","7","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","HXNX_Avian_CY177167_A/mallard/California/1367/2013|2013.553","1002"
"mixed,N6_Avian_CY177168_A/mallard/California/1367/2013_USA_2013/07/22_6 (NA)","mixed,N6","HX","N6","Avian","mallard","CY177168","A/mallard/California/1367/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","6 (NA)","6","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","HXN6_Avian_CY177168_A/mallard/California/1367/2013|2013.553","1440"
"mixed,N5_Avian_CY177169_A/mallard/California/1367/2013_USA_2013/07/22_6 (NA)","mixed,N5","HX","N5","Avian","mallard","CY177169","A/mallard/California/1367/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","6 (NA)","6","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","HXN5_Avian_CY177169_A/mallard/California/1367/2013|2013.553","1444"
"mixed_Avian_CY177170_A/mallard/California/1367/2013_USA_2013/07/22_5 (NP)","mixed","HX","NX","Avian","mallard","CY177170","A/mallard/California/1367/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","5 (NP)","5","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","HXNX_Avian_CY177170_A/mallard/California/1367/2013|2013.553","1540"
"mixed_Avian_CY177171_A/mallard/California/1367/2013_USA_2013/07/22_8 (NS)","mixed","HX","NX","Avian","mallard","CY177171","A/mallard/California/1367/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","8 (NS)","8","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","HXNX_Avian_CY177171_A/mallard/California/1367/2013|2013.553","865"
"mixed_Avian_CY177172_A/mallard/California/1367/2013_USA_2013/07/22_3 (PA)","mixed","HX","NX","Avian","mallard","CY177172","A/mallard/California/1367/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","3 (PA)","3","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","HXNX_Avian_CY177172_A/mallard/California/1367/2013|2013.553","2208"
"mixed_Avian_CY177173_A/mallard/California/1367/2013_USA_2013/07/22_2 (PB1)","mixed","HX","NX","Avian","mallard","CY177173","A/mallard/California/1367/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","2 (PB1)","2","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","HXNX_Avian_CY177173_A/mallard/California/1367/2013|2013.553","2304"
"mixed_Avian_CY177174_A/mallard/California/1367/2013_USA_2013/07/22_1 (PB2)","mixed","HX","NX","Avian","mallard","CY177174","A/mallard/California/1367/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","1 (PB2)","1","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","HXNX_Avian_CY177174_A/mallard/California/1367/2013|2013.553","2316"
"H5N5_Avian_CY177183_A/mallard/California/1370/2013_USA_2013/07/22_4 (HA)","H5N5","H5","N5","Avian","mallard","CY177183","A/mallard/California/1370/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","4 (HA)","4","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177183_A/mallard/California/1370/2013|2013.553","1742"
"H5N5_Avian_CY177184_A/mallard/California/1370/2013_USA_2013/07/22_7 (MP)","H5N5","H5","N5","Avian","mallard","CY177184","A/mallard/California/1370/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","7 (MP)","7","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177184_A/mallard/California/1370/2013|2013.553","1002"
"H5N5_Avian_CY177185_A/mallard/California/1370/2013_USA_2013/07/22_6 (NA)","H5N5","H5","N5","Avian","mallard","CY177185","A/mallard/California/1370/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","6 (NA)","6","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177185_A/mallard/California/1370/2013|2013.553","1444"
"H5N5_Avian_CY177186_A/mallard/California/1370/2013_USA_2013/07/22_5 (NP)","H5N5","H5","N5","Avian","mallard","CY177186","A/mallard/California/1370/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","5 (NP)","5","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177186_A/mallard/California/1370/2013|2013.553","1537"
"H5N5_Avian_CY177187_A/mallard/California/1370/2013_USA_2013/07/22_8 (NS)","H5N5","H5","N5","Avian","mallard","CY177187","A/mallard/California/1370/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","8 (NS)","8","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177187_A/mallard/California/1370/2013|2013.553","865"
"H5N5_Avian_CY177188_A/mallard/California/1370/2013_USA_2013/07/22_3 (PA)","H5N5","H5","N5","Avian","mallard","CY177188","A/mallard/California/1370/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","3 (PA)","3","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177188_A/mallard/California/1370/2013|2013.553","2208"
"H5N5_Avian_CY177189_A/mallard/California/1370/2013_USA_2013/07/22_2 (PB1)","H5N5","H5","N5","Avian","mallard","CY177189","A/mallard/California/1370/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","2 (PB1)","2","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177189_A/mallard/California/1370/2013|2013.553","2304"
"H5N5_Avian_CY177190_A/mallard/California/1370/2013_USA_2013/07/22_1 (PB2)","H5N5","H5","N5","Avian","mallard","CY177190","A/mallard/California/1370/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","1 (PB2)","1","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177190_A/mallard/California/1370/2013|2013.553","2316"
"H5N5_Avian_CY177191_A/mallard/California/1371/2013_USA_2013/07/22_4 (HA)","H5N5","H5","N5","Avian","mallard","CY177191","A/mallard/California/1371/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","4 (HA)","4","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177191_A/mallard/California/1371/2013|2013.553","1742"
"H5N5_Avian_CY177192_A/mallard/California/1371/2013_USA_2013/07/22_7 (MP)","H5N5","H5","N5","Avian","mallard","CY177192","A/mallard/California/1371/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","7 (MP)","7","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177192_A/mallard/California/1371/2013|2013.553","1002"
"H5N5_Avian_CY177193_A/mallard/California/1371/2013_USA_2013/07/22_6 (NA)","H5N5","H5","N5","Avian","mallard","CY177193","A/mallard/California/1371/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","6 (NA)","6","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177193_A/mallard/California/1371/2013|2013.553","1432"
"H5N5_Avian_CY177194_A/mallard/California/1371/2013_USA_2013/07/22_5 (NP)","H5N5","H5","N5","Avian","mallard","CY177194","A/mallard/California/1371/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","5 (NP)","5","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177194_A/mallard/California/1371/2013|2013.553","1537"
"H5N5_Avian_CY177195_A/mallard/California/1371/2013_USA_2013/07/22_8 (NS)","H5N5","H5","N5","Avian","mallard","CY177195","A/mallard/California/1371/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","8 (NS)","8","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177195_A/mallard/California/1371/2013|2013.553","865"
"H5N5_Avian_CY177196_A/mallard/California/1371/2013_USA_2013/07/22_3 (PA)","H5N5","H5","N5","Avian","mallard","CY177196","A/mallard/California/1371/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","3 (PA)","3","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177196_A/mallard/California/1371/2013|2013.553","2208"
"H5N5_Avian_CY177197_A/mallard/California/1371/2013_USA_2013/07/22_2 (PB1)","H5N5","H5","N5","Avian","mallard","CY177197","A/mallard/California/1371/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","2 (PB1)","2","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177197_A/mallard/California/1371/2013|2013.553","2304"
"H5N5_Avian_CY177198_A/mallard/California/1371/2013_USA_2013/07/22_1 (PB2)","H5N5","H5","N5","Avian","mallard","CY177198","A/mallard/California/1371/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","1 (PB2)","1","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177198_A/mallard/California/1371/2013|2013.553","2316"
"H5N5_Avian_CY177199_A/mallard/California/1375/2013_USA_2013/07/22_4 (HA)","H5N5","H5","N5","Avian","mallard","CY177199","A/mallard/California/1375/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","4 (HA)","4","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177199_A/mallard/California/1375/2013|2013.553","1742"
"H5N5_Avian_CY177200_A/mallard/California/1375/2013_USA_2013/07/22_7 (MP)","H5N5","H5","N5","Avian","mallard","CY177200","A/mallard/California/1375/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","7 (MP)","7","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177200_A/mallard/California/1375/2013|2013.553","1002"
"H5N5_Avian_CY177201_A/mallard/California/1375/2013_USA_2013/07/22_6 (NA)","H5N5","H5","N5","Avian","mallard","CY177201","A/mallard/California/1375/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","6 (NA)","6","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177201_A/mallard/California/1375/2013|2013.553","1444"
"H5N5_Avian_CY177202_A/mallard/California/1375/2013_USA_2013/07/22_5 (NP)","H5N5","H5","N5","Avian","mallard","CY177202","A/mallard/California/1375/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","5 (NP)","5","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177202_A/mallard/California/1375/2013|2013.553","1537"
"H5N5_Avian_CY177203_A/mallard/California/1375/2013_USA_2013/07/22_8 (NS)","H5N5","H5","N5","Avian","mallard","CY177203","A/mallard/California/1375/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","8 (NS)","8","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177203_A/mallard/California/1375/2013|2013.553","865"
"H5N5_Avian_CY177204_A/mallard/California/1375/2013_USA_2013/07/22_3 (PA)","H5N5","H5","N5","Avian","mallard","CY177204","A/mallard/California/1375/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","3 (PA)","3","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177204_A/mallard/California/1375/2013|2013.553","2208"
"H5N5_Avian_CY177205_A/mallard/California/1375/2013_USA_2013/07/22_2 (PB1)","H5N5","H5","N5","Avian","mallard","CY177205","A/mallard/California/1375/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","2 (PB1)","2","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177205_A/mallard/California/1375/2013|2013.553","2304"
"H5N5_Avian_CY177206_A/mallard/California/1375/2013_USA_2013/07/22_1 (PB2)","H5N5","H5","N5","Avian","mallard","CY177206","A/mallard/California/1375/2013","California","USA","NorthernAmerica","America","2013/07/22","2013.55342465753","1 (PB2)","1","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY177206_A/mallard/California/1375/2013|2013.553","2316"
